Match Link,Date,Match Type
https://stats.espncricinfo.com/ci/engine/match/1277082.html,19 Jan 2022,ODI
https://stats.espncricinfo.com/ci/engine/match/1277083.html,21 Jan 2022,ODI
https://stats.espncricinfo.com/ci/engine/match/1277084.html,23 Jan 2022,ODI
https://stats.espncricinfo.com/ci/engine/match/1278676.html,6 Feb 2022,ODI
https://stats.espncricinfo.com/ci/engine/match/1278677.html,9 Feb 2022,ODI
https://stats.espncricinfo.com/ci/engine/match/1278678.html,11 Feb 2022,ODI
https://stats.espncricinfo.com/ci/engine/match/1276908.html,14 Jul 2022,ODI
https://stats.espncricinfo.com/ci/engine/match/1276909.html,17 Jul 2022,ODI
https://stats.espncricinfo.com/ci/engine/match/1340845.html,4 Dec 2022,ODI
https://stats.espncricinfo.com/ci/engine/match/1340846.html,7 Dec 2022,ODI
https://stats.espncricinfo.com/ci/engine/match/1340847.html,10 Dec 2022,ODI
https://stats.espncricinfo.com/ci/engine/match/1348643.html,10 Jan 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1348644.html,12 Jan 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1348645.html,15 Jan 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1348646.html,18 Jan 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1348647.html,21 Jan 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1348648.html,24 Jan 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1348656.html,17 Mar 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1348657.html,19 Mar 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1348658.html,22 Mar 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1381214.html,27 Jul 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1388394.html,2 Sep 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1388398.html,4 Sep 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1388406.html,10 Sep 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1388407.html,12 Sep 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1388414.html,17 Sep 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1389390.html,27 Sep 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1384396.html,8 Oct 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1384400.html,11 Oct 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1384403.html,14 Oct 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1384408.html,19 Oct 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1384412.html,22 Oct 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1384420.html,29 Oct 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1384424.html,2 Nov 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1384428.html,5 Nov 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1384436.html,12 Nov 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1384437.html,15 Nov 2023,ODI
